,Compound,Date,Negative,Neutral,Positive,Text,User
86,-0.0516,Tue Mar 27 17:23:13 +0000 2018,0.938,0.062,0.0,"RT @richard_conway: Breaking:
Cricket Australia say Steve Smith, David Warner, Cameron Bancroft to leave South Africa tomorrow.
Head coach…",@BBCWorld
87,-0.3182,Tue Mar 27 17:19:43 +0000 2018,0.723,0.277,0.0,JWST: Hubble 'successor' faces new delay https://t.co/eXx0Vxqfb6,@BBCWorld
88,-0.296,Tue Mar 27 17:04:02 +0000 2018,0.82,0.18,0.0,France to lower school starting age from six to three https://t.co/Us998C0PsN,@BBCWorld
89,-0.4767,Tue Mar 27 16:43:51 +0000 2018,0.721,0.279,0.0,William Strampel: Michigan supervisor of Larry Nassar arrested https://t.co/1dROZkhAjO,@BBCWorld
90,-0.5719,Tue Mar 27 16:21:50 +0000 2018,0.701,0.299,0.0,Kemerovo fire: Who are the victims in the Russia leisure centre blaze? https://t.co/tX0BjbjBtL,@BBCWorld
91,0.5423,Tue Mar 27 16:18:52 +0000 2018,0.759,0.0,0.241,"RT @BBC_HaveYourSay: Chicago superior? The phenomenon of the media-savvy slam-dunk nun
https://t.co/p6WqsUEDY7",@BBCWorld
92,-0.6808,Tue Mar 27 16:12:28 +0000 2018,0.556,0.444,0.0,Kemerovo fire damage seen from inside gutted mall https://t.co/O75q4RgqPx,@BBCWorld
93,0.0,Tue Mar 27 16:07:05 +0000 2018,1.0,0.0,0.0,"Twenty million Indians apply for 100,000 railway jobs https://t.co/DzmNwTG5wQ",@BBCWorld
94,0.0,Tue Mar 27 15:52:10 +0000 2018,1.0,0.0,0.0,When is a diplomat really just a spy? https://t.co/b8C7t86gI5,@BBCWorld
95,0.0,Tue Mar 27 15:43:35 +0000 2018,1.0,0.0,0.0,Why bear cubs are spending longer with their mothers https://t.co/LabQd7LPk3,@BBCWorld
96,0.7906,Tue Mar 27 15:37:39 +0000 2018,0.462,0.0,0.538,US teen author wins Astrid Lindgren prize https://t.co/X7PfD88XPo,@BBCWorld
97,-0.3182,Tue Mar 27 14:28:00 +0000 2018,0.723,0.277,0.0,Argentine government mocked over heterosexuality tweet https://t.co/Ve8pBTidUa,@BBCWorld
98,0.5106,Tue Mar 27 14:13:24 +0000 2018,0.852,0.0,0.148,".@NATO is reducing the size of the Russian mission to the organisation, in a ""strong message"" to Moscow after Salis… https://t.co/VKb4QKoy1a",@BBCWorld
99,-0.7269,Tue Mar 27 13:20:49 +0000 2018,0.496,0.504,0.0,Kemerovo fire: Crowds direct fury at Putin https://t.co/kfzgKL64BQ,@BBCWorld
100,-0.6486,Thu Mar 29 01:16:03 +0000 2018,0.725,0.275,0.0,Why the Stevens gun manifesto is beyond irresponsible | By Robert A. Levy via @CNNOpinion https://t.co/FnBVWPEwG1 https://t.co/x3vxslFVQI,@CNN
101,0.5267,Thu Mar 29 01:10:59 +0000 2018,0.455,0.182,0.364,A 12-year-old boy who survived cancer finally got his wish: a kiss from Pope Francis https://t.co/hMPCnn54AW https://t.co/MK4xso1SkF,@CNN
102,0.3348,Thu Mar 29 01:08:02 +0000 2018,0.913,0.0,0.087,RT @OutFrontCNN: Rudy! Rudy! Rudy! ...can you hear me now? We have an ear-y feeling Rudy Giuliani got his wires crossed with some of the la…,@CNN
103,-0.1531,Thu Mar 29 01:06:06 +0000 2018,0.873,0.127,0.0,All the President's lawsuits | Analysis by CNN's Z. Byron Wolf https://t.co/FjfLWkUXLJ https://t.co/ETvCrQhzxp,@CNN
104,0.3612,Thu Mar 29 01:02:07 +0000 2018,0.848,0.0,0.152,A brief history of how Parkland survivor David Hogg keeps schooling lawmakers on social media… https://t.co/gNYlPEKegD,@CNN
105,-0.2263,Thu Mar 29 00:45:17 +0000 2018,0.899,0.101,0.0,"A judge handed a small victory to Tesla shareholders, allowing them to move forward with a lawsuit against CEO Elon… https://t.co/mlOgFkO6Ra",@CNN
106,-0.2462,Thu Mar 29 00:38:29 +0000 2018,0.673,0.205,0.122,"The ""Roseanne"" reboot is damn good. The star deserves none of the credit. | By Clay Cane via @CNNOpinion… https://t.co/ahjsn8swjE",@CNN
107,0.4404,Thu Mar 29 00:36:33 +0000 2018,0.854,0.0,0.146,"RT @OutFrontCNN: ""We're all sinners, nobody understands that better than Evangelicals…we believe we all need forgiveness."" - Evangelical Je…",@CNN
108,-0.7096,Thu Mar 29 00:36:22 +0000 2018,0.629,0.371,0.0,A dramatic night-vision video captures a US raid to kill ISIS fighters https://t.co/aZcs03C79X https://t.co/Z4AoSdOvVY,@CNN
109,0.4588,Thu Mar 29 00:35:31 +0000 2018,0.88,0.0,0.12,"RT @OutFrontCNN: ""She signed the contract, she received the benefit of the contract. It was signed by the other party."" Michael Cohen's att…",@CNN
110,0.3818,Thu Mar 29 00:24:50 +0000 2018,0.874,0.0,0.126,Donations pour in for a high school rifle team after the school board votes against accepting an NRA grant… https://t.co/MSnEeZdHgs,@CNN
111,-0.0516,Thu Mar 29 00:11:03 +0000 2018,0.934,0.066,0.0,President Trump's campaign touted the administration's move to add a question about citizenship status to the US Ce… https://t.co/W0f7SGr3md,@CNN
112,-0.5994,Thu Mar 29 00:06:05 +0000 2018,0.611,0.279,0.109,Thousands of people marched through Paris to protest the killing of a Holocaust survivor in her home… https://t.co/zqfYkmsLVD,@CNN
113,0.0258,Thu Mar 29 00:01:07 +0000 2018,0.948,0.0,0.052,"The White House calls police shootings of black men a ""local matter"" that ""should be left up to the local authoriti… https://t.co/nektBUdjeE",@CNN
114,0.0,Wed Mar 28 23:56:06 +0000 2018,1.0,0.0,0.0,"George Conway, husband of White House counselor Kellyanne Conway, appears to be trolling President Trump… https://t.co/NUmgl5Ms4T",@CNN
115,-0.5267,Wed Mar 28 23:51:03 +0000 2018,0.794,0.206,0.0,Authorities and the Sacramento Kings are preparing for protests that are expected Thursday after the funeral for St… https://t.co/wYLH5W0049,@CNN
116,0.128,Wed Mar 28 23:46:07 +0000 2018,0.927,0.0,0.073,"US President Trump granted tariff exemptions to six countries and the European Union, but ""it's not an exemption li… https://t.co/nE0wY3IAVf",@CNN
117,0.5267,Wed Mar 28 23:41:03 +0000 2018,0.825,0.0,0.175,"Emails reveal the Department of Justice would have ""very little involvement"" if President Trump tweeted a pardon… https://t.co/UYNvBIqLcE",@CNN
118,0.4497,Wed Mar 28 23:36:05 +0000 2018,0.871,0.0,0.129,"A new bill in Kansas would not only authorize the arming of school staff, but would hold schools responsible if a s… https://t.co/0raMQKJkXD",@CNN
119,-0.5423,Wed Mar 28 23:31:01 +0000 2018,0.8,0.2,0.0,Some Twitter users are outraged that Netflix appointed Susan Rice to its board https://t.co/ZVA60bqn62 https://t.co/9TjTGHh20c,@CNN
120,-0.4767,Wed Mar 28 23:26:03 +0000 2018,0.838,0.162,0.0,Ecuador says it has again suspended Julian Assange's outside communications access at its embassy in London… https://t.co/ANmsVaviGV,@CNN
121,-0.5994,Wed Mar 28 23:21:05 +0000 2018,0.794,0.206,0.0,"Sudden infant death syndrome may have a genetic basis in some cases, a new study suggests https://t.co/04uPE4IHBs https://t.co/d15ipkOky1",@CNN
122,0.5267,Wed Mar 28 23:14:38 +0000 2018,0.455,0.182,0.364,A 12-year-old boy who survived cancer finally got his wish: a kiss from Pope Francis https://t.co/lZqCCbVV6b https://t.co/Ncy22YwUuu,@CNN
123,0.5994,Wed Mar 28 22:58:00 +0000 2018,0.766,0.0,0.234,The Justice Department's internal watchdog announced it has launched a probe into the department and the FBI's hand… https://t.co/ccQQChOlBu,@CNN
124,0.891,Wed Mar 28 22:49:31 +0000 2018,0.654,0.0,0.346,Nobel Peace Prize winner Malala Yousafzai is back in Pakistan for the first time since she was shot in the face and… https://t.co/O6HJRNK5ml,@CNN
125,0.0,Wed Mar 28 22:46:23 +0000 2018,1.0,0.0,0.0,Maserati unveiled a 590 horsepower high performance version of its Levante crossover SUV at the New York Auto Show… https://t.co/y7jpECCr2J,@CNN
126,0.128,Wed Mar 28 22:36:50 +0000 2018,0.919,0.0,0.081,"Exclusive: In depositions, the Karolyis say they knew nothing of former USA Gymnastics doctor Larry Nassar's abuse… https://t.co/6gOzBZ6j4g",@CNN
127,0.0,Wed Mar 28 22:19:46 +0000 2018,1.0,0.0,0.0,"Sen. Chris Coons: ""It is concerning to me that the President is increasingly seeming to manage his cabinet more lik… https://t.co/TCZaET9mBG",@CNN
128,-0.7003,Wed Mar 28 22:15:11 +0000 2018,0.721,0.279,0.0,"Rep. Steve King's remark about outspoken Parkland student Emma Gonzalez ""betrays a lack of understanding about the… https://t.co/GZB7Hy487F",@CNN
129,0.34,Wed Mar 28 22:09:38 +0000 2018,0.87,0.0,0.13,"Susan Rice, a former UN ambassador and national security adviser under President Barack Obama, has joined Netflix's… https://t.co/oXEfylqYkT",@CNN
130,-0.296,Wed Mar 28 22:07:26 +0000 2018,0.885,0.115,0.0,"White House press secretary Sarah Sanders refused to answer whether President Donald Trump was aware of a $130,000… https://t.co/bJ2feNKSpL",@CNN
131,0.0,Wed Mar 28 22:04:14 +0000 2018,1.0,0.0,0.0,"Sources describe four yet-to-be-released videos recorded the night of the shooting of Alton Sterling as ""very graph… https://t.co/gpokg872eO",@CNN
132,0.0,Wed Mar 28 21:53:22 +0000 2018,1.0,0.0,0.0,"President Donald Trump says Veterans Affairs Secretary David Shulkin is out, and that Shulkin will be replaced with… https://t.co/v03PKc6WVZ",@CNN
133,0.8286,Wed Mar 28 21:49:47 +0000 2018,0.711,0.0,0.289,"President Trump thanked Shulkin via Twitter for his ""service to our country and to our GREAT VETERANS"" and said Rob… https://t.co/9FvpdZJr2f",@CNN
134,0.0,Wed Mar 28 21:44:46 +0000 2018,1.0,0.0,0.0,"BREAKING: President Donald Trump says Veterans Affairs Secretary David Shulkin is out, and that he'll be replaced w… https://t.co/GOXcsz3wzn",@CNN
135,0.0,Wed Mar 28 21:37:46 +0000 2018,1.0,0.0,0.0,UK detectives say they believe the former Russian double agent Sergei Skripal and his daughter first encountered a… https://t.co/ICwOpi9mPc,@CNN
136,-0.6249,Wed Mar 28 21:26:53 +0000 2018,0.788,0.212,0.0,"Former Vice President Joe Biden regrets saying that if he were in high school, he would fight President Trump over… https://t.co/l4oVqppV40",@CNN
137,0.0,Wed Mar 28 21:23:39 +0000 2018,1.0,0.0,0.0,"RT @CNNnewsroom: ""There's this power of nostalgia in this family...but they were also the quintessential working class, white, exurban fami…",@CNN
138,0.0,Wed Mar 28 21:20:38 +0000 2018,1.0,0.0,0.0,"News that Cambridge Analytica, a data firm with ties to President Trump's campaign, reportedly accessed information… https://t.co/HLBbE15VgU",@CNN
139,0.3612,Wed Mar 28 21:11:01 +0000 2018,0.884,0.0,0.116,TESS the planet hunter is getting ready to launch next month. The Transiting Exoplanet Survey Satellite is NASA's n… https://t.co/IjwXc4IsiY,@CNN
140,0.4767,Wed Mar 28 21:02:45 +0000 2018,0.837,0.0,0.163,"Sen. Kennedy on what he'd ask Zuckerberg: ""Is it a fair bargain for me to give up all my personal data to Facebook,… https://t.co/yxDzoJoacU",@CNN
141,0.0,Wed Mar 28 20:48:51 +0000 2018,1.0,0.0,0.0,"If you were running for President, would you have your deputy campaign manager speak to a former Russian intelligen… https://t.co/DjjDdZY1fC",@CNN
142,0.3182,Wed Mar 28 20:35:03 +0000 2018,0.638,0.132,0.23,"A generation ago, Republicans focused on reforming the nation's safety net by requiring poor mothers to work. Now,… https://t.co/vaMFi5ajZD",@CNN
143,0.0,Wed Mar 28 20:31:05 +0000 2018,1.0,0.0,0.0,"13,000-year-old footprints were found off the Canadian coast https://t.co/Yq3Ijx9hnL https://t.co/vonY3PKKWB",@CNN
144,0.6808,Wed Mar 28 20:26:19 +0000 2018,0.752,0.0,0.248,"Vice President Mike Pence's hometown of Columbus, Indiana, plans to hold its first LGBT Pride Festival next month… https://t.co/EML8EDzuby",@CNN
